,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,71.0,9594930.842669252,9505255.744670581,9259397.36556404,11393903.67441386,12100641.891718004,8567569.90519546,7447913.719479455,7459724.667573298,6926284.619913602,6347416.222603035,8819357.533487096,7453961.4228859395,7386475.4356742045,6951314.231832384,5728189.166678091,4833413.4719801145,5958812.120121719,4408334.553964131,5217487.257132605,5240291.093563026,4991331.903508321,4121910.744650505,4856007.520283199,3808811.5721899886,4580777.738572861,4198472.774744829,3617126.0466246754,4815900.816745103,3235161.798227668,3695245.2533415873,5153224.71310876,3131200.404714054,3233612.1253983025,3794208.9631739515,4512801.740861217,4581837.099591643,5915019.802389696,5944357.426957391,6682938.567809017,6453521.473409419,6514680.1892590225,7752096.198451426,7652810.24291032,7904571.779629878,7907351.065552465,7121689.382988142,6460869.4200655585
11,72.0,2778584.046577305,4037931.3935825266,3960734.9348486145,5672254.529163936,3667026.0464193504,4076299.332643862,4675733.366192525,3995212.227706953,6249134.494422135,5566535.180108071,7114605.512469906,5966790.69155439,5327152.75154438,6526488.3280463265,5316718.908362172,5880736.404657287,8846748.54184872,11243031.200839654,13865955.038107278,7980790.8722648835,8571955.561969757,11063042.324222893,10127849.102151658,9331065.833942233,8651744.387105823,8142141.119184422,6902270.090950049,6445079.943506354,4311473.469925733,3585837.1700913887,3237640.546182927,4004687.756305474,3573362.4240617948,4473585.761327812,4108751.710491632,5656999.111621634,3939529.915348866,,,,,,,,,,
12,77.0,1095358.3163530228,1610040.3614931474,1643214.8989068386,1323815.1313160614,1773756.249367352,1806177.4023283666,2256731.1956136157,1822695.0850483207,2062082.523722928,2151562.3040159885,2156746.412752586,1723130.3421089319,1766295.6979024136,1944070.0828519142,3926788.510506138,2113711.1859044577,1644289.148051295,1746896.552997151,1455904.7845588173,1397191.2808688108,1347667.6450333877,1547546.9805634008,1865180.7180997743,1320791.1204539896,1560611.8354266707,1751992.3712909843,1027318.8486331356,1101248.0070389046,1032488.152489335,1166989.418739625,1972161.355432133,1978015.5302888153,2431941.0290885754,2437600.714889749,2457232.446668651,2782953.188808854,2363412.151641393,,,,,,,,,,
13,78.0,66931120.07234222,67385005.60126878,67722267.39781493,65564769.475464135,21936763.445158564,11694882.399772845,11616330.788840167,10703297.339750133,8572134.673296046,6990285.030320218,7468337.158371722,5996849.0730609,5319660.950882606,4520430.463913692,4672516.8153154515,4379857.441247111,4111568.71568068,4338301.36738172,8443057.662048751,5894456.7806184245,5303317.442877095,5092173.309389893,4226110.006459193,10283161.334095225,19373539.000990167,20863291.948557135,20511438.907776833,21019646.50532659,42033489.30583716,40577391.05636624,40227955.038733505,39683710.78678215,39729861.28124587,40261108.43115411,27236209.738761827,24091332.322148677,22670809.141804975,,,,,,,,,,
14,79.0,56650092.90176308,62960878.08318789,56840747.10859017,99360123.65259776,49853553.280011155,47309782.08348444,61805029.07596095,63025924.411555216,66018801.706651054,66276425.14991447,67775921.89199539,61790355.5404561,61427771.62490407,61366083.63171515,60606918.09514239,55967380.59418717,53452978.34688105,59235786.22035535,59394693.494557634,58112695.224712834,69359195.77122927,80768279.76221636,68910739.56149071,59007907.852835745,59266568.455371544,54034083.49297576,53847372.09757894,54866986.63693136,44794454.80031385,38267385.29587239,32257008.929927826,29568685.81248997,25509347.342403784,61163436.12784636,138604730.21603277,141922578.69814843,127329704.14864118,,,,,,,,,,
15,80.0,1761948.9284106032,2214894.353119012,2045074.9800889525,2472393.720545803,2406293.3380211107,2434558.5516367,1986708.170884137,1776357.8611969962,1367555.8940592052,1829770.6749930363,1926230.124821817,1833644.1960762779,1748923.3565876149,1637159.117356134,1675913.878458084,1878767.7645115918,2037285.7349500447,2224315.8783544633,2290394.4443888436,2431468.1294141444,2739243.0492770057,2545135.509935121,2807105.723832107,2922077.149713489,3387984.9327289304,3050747.4216361963,2854026.1954924255,3027414.057580324,3090663.822855615,3067674.569953098,2753053.0652321815,2324146.399829384,2377611.649205003,2480621.648450505,1822621.8057499116,1309792.92744037,1066748.1291267816,,,,,,,,,,
16,82.0,1652646.9942076965,1379945.1536190333,1909229.48264224,2211716.8929761173,2490994.748518341,3981791.436158478,4606306.972865457,4233857.584235016,4204629.721653636,4570555.19975779,4582231.271972964,4403661.703967341,4228256.951721096,4285364.482082926,5701521.5127342325,4070315.4852265217,3827218.3439155407,3874308.4677971983,4398666.864033585,4524129.216955348,4393051.592393016,5095767.642324321,5074757.64184665,5216631.920520947,5198311.605285875,5120380.463656307,5789500.584097349,6582645.267902204,6363213.087285407,6566525.919067466,5791181.609707706,5438840.22351705,6176131.043348974,5863261.406460084,5874147.274240083,5611841.444982699,5421853.568758185,4580690.932017881,4697475.308224408,4933059.075262524,5199358.565852888,5478326.93360259,6438561.030676441,5854563.891026946,6218118.133599943,7179581.213587682,6020226.748086996
17,83.0,16786007.745456424,16077519.823291052,30055743.23919445,33188898.62903533,49081364.690065704,42935041.40199818,42831794.742403805,39712617.06058417,39700915.86917481,38585990.109314695,38689933.73840253,42732877.39888898,39951722.93772931,18331890.46599485,17117371.552234754,9103216.480265982,8189178.559370518,12353827.801408187,13353006.20765271,12348251.771487754,12896463.318921048,12977556.910824873,9736474.896239586,11433555.337683393,10980006.340009222,9962422.085710164,10257636.07664597,10223172.154854659,6099473.040033564,5635122.308243884,8333178.934818609,46277475.83656807,43859958.348862,42945594.28126117,45367547.43171192,46459185.68152847,42378481.25235027,,,,,,,,,,
18,84.0,90199247.310718,103461817.31453477,101711383.45445094,113780249.5992494,1066125550.1719997,820966187.0506182,815347937.5914373,986825027.0015588,1065528246.9009538,1063819847.9774051,1048593482.1896105,1041999522.4568975,1044833686.5982997,1191403592.7753196,1145291282.8261056,507092037.1513772,520607358.50197506,471207443.8886631,288288156.4295043,267520172.84240603,277021065.9182315,267881224.39402246,271738604.15655226,271639966.4579519,114953871.35929438,173629076.9445942,164667302.64827958,158095151.9490761,154998696.5862919,116769540.98556267,109584386.78138007,110690922.88968828,110305162.48289002,116100669.68844339,91274966.96485609,85407983.97531947,27717300.091024384,,,,,,,,,,
19,85.0,3321873.2305993624,3266283.562536569,3198153.988043012,3002876.540927996,1381973.9948050256,1324320.6459815684,1342541.7405102046,1238985.4710819176,989510.4404658586,1086121.4794963337,1609152.068862496,1504110.2217969429,1088009.420496853,1826165.363013723,1715377.8641783344,1690772.360413924,1989576.3251303693,1869735.3684854498,1923245.7528961701,1991479.2344890581,1898587.7122924349,1760331.7466083704,2047745.0956132715,2064175.860543849,1247341.8081209036,1384886.483181915,1501370.78761699,1554598.8732301928,1786702.457309035,1935278.3473475724,2043389.9677391727,1960254.462234942,1454968.4612127317,1509126.8041010129,1855463.555948735,1345307.3853571,1216185.1361774995,,,,,,,,,,
20,87.0,6998442.111410255,6892087.5405817265,6927325.659071531,3853447.8782735784,2952778.5042686164,2647644.4329544753,2720190.1899291263,15889081.3285125,14169386.020456742,16244953.73358666,18384361.96971357,18663347.45503689,18525400.96478086,18351470.44799298,18670690.124232963,19767567.45639478,19254486.9597576,19661425.543100595,8528146.51856296,7807938.017835688,6279235.069515065,5021110.679409592,5147212.26775626,4388468.730808481,5166564.877335563,4525986.247432787,4045073.6861601453,3980754.47193206,9447873.816865362,8875038.471281346,8616416.360593867,8394778.839340314,8009563.377224494,8180414.1521944115,7318616.637786163,6946241.441632775,6164959.511121268,,,,,,,,,,
21,88.0,437148132.54357255,203769619.983713,486420690.6659753,489054735.67373765,478230148.75676167,510552034.1413402,514725049.051868,629317067.0836285,686982924.0154984,689917157.0850611,851390727.5740466,1781592076.274711,1808553159.6340873,1658016565.2243006,3275802815.070359,3083308104.5025244,3232869853.421418,3285730001.237331,3233285162.2174463,3399685399.972606,5995466161.689903,5787415091.741904,4988435803.778618,4940706057.663895,4666137159.013357,3184651556.138731,3001397917.6004257,4541628987.483708,4256302091.2979107,4253125613.1845756,3844375599.476027,2272642628.276044,1799118334.2450447,1900523759.6261797,1902289262.1016645,2019402212.2143514,1855518970.7590027,,,,,,,,,,
22,89.0,223261163.7959418,364594700.4531104,371250218.0429516,373103892.7531489,376324833.7699039,376387702.2610239,380291208.0215558,362236901.73204976,354497978.2011337,308938491.5823447,309220203.3677132,227933005.1474609,10349036.057665747,9052428.652219314,8556737.60309595,8569219.055893699,68694551.13777694,67556538.83649394,66650833.13656872,73329986.26873784,67141679.58859715,67801182.83148238,117982374.22247413,116481236.58539933,145314083.76073942,140987975.31896845,146486051.54611856,82833993.61183211,81936106.31749873,85280552.76539676,78046278.24714275,78335859.86670561,85324752.19012995,37712541.460593,37817015.571117185,15452360.83971849,14496824.171919245,,,,,,,,,,
23,91.0,10547855.414482478,10284168.414418904,10843487.321922759,13905750.301769178,20187632.919369876,19725335.862713244,20139301.883607656,19426430.613697805,19125975.946756463,16103876.393211763,16048794.605986597,14264755.190673804,14321535.573929928,13522902.04644456,4759698.162961867,2334862.743411781,1953326.250735721,3617016.1472839043,3245901.8002950894,3115061.3376932642,4117674.377928431,3694479.192461329,4122978.8918088074,4233487.9735918455,4027380.415422356,4095768.5665063257,4443298.800301475,4914010.218775132,2931256.1479043453,2851444.45050056,3699456.080326032,2903640.788097926,3178793.6404182175,3416209.1159538757,3293442.7441414283,3489092.2076123776,3175600.271098585,,,,,,,,,,
24,92.0,8710847.53099021,8808346.670266509,9528785.772904783,9927981.990141165,10466059.726102032,5944294.906671725,6213495.122826241,6562567.107044116,8036851.97157706,7497470.647228917,7376460.998661345,6077192.018742085,6846945.605903597,5847573.962194703,5925386.97811841,6061280.961393468,4912741.723916143,3808875.6080866186,3674393.809946564,3668636.059172445,4728813.613241206,5298913.073674057,5311393.29601047,2828721.8760056887,5651368.083593271,804642840.274452,4450210782.967113,4175229592.5738506,4131222889.1113935,4128305491.033078,4127615192.6090503,4122781796.9263153,4126310242.4832892,4133893134.133792,4138874910.208335,4127525309.381734,3673103826.587773,,,,,,,,,,
25,93.0,3123021.44249853,4672863.666992766,2752846.2459807373,2646913.6888218545,3060993.0161869638,3181631.7460534023,3447262.692708263,3006199.850974692,3303805.233248286,5579477.996088877,4329771.644846633,4002623.8507935754,4099297.7380513325,5582431.061303051,4471101.375560144,5397671.430858154,5662310.854243325,5314785.38323232,5233715.289322002,4697015.06428171,4477603.764666555,4242785.417286465,5572820.910512814,5867777.607879537,5320813.306797779,5059149.260776638,4050782.0403760015,4589769.222204085,10524807.70043971,13805109.224314988,15671580.005029336,17389505.92455031,16842063.139407985,17632628.180892494,17551013.743253395,17870595.9232966,16101336.400734056,,,,,,,,,,
