,0,1,2,3,4,5,6,7
0,10.0,423.48928971958236,458.23612650087483,479.92859597259076,619.8653363407981,704.2443213867793,536.1397029124914,457.5920511176588
1,12.0,384.87406553910023,227.66203501989017,256.91398178248147,410.1529553497157,573.9816262031032,785.1965035026079,899.0305241056114
2,15.0,569.4371104594043,589.4754242407164,571.201231260448,409.1547188840313,535.3673107574,761.6152920025379,715.1006266444602
3,16.0,173.28008004794478,215.75923525072918,418.10390923031156,591.3519550862833,680.3619215037462,800.1986764825427,853.4726855560106
4,18.0,555.4833324004283,666.9565851148286,736.5011014202048,740.9093008728722,682.6359614125085,643.1638658467045,653.5734332076955
5,22.0,392.8544499972702,521.789640913048,571.2844305158728,658.0931249462291,772.4265729851523,819.7044231536652,670.9277313382989
6,26.0,199.58490189299786,413.43121536001615,492.63679965489774,414.80376924826345,475.84988199355803,475.1080015544554,398.8317258708612
7,27.0,215.44208442774664,518.1162113941123,819.4064547436703,822.1427018159222,733.4197373789689,711.2268640404423,789.0018346461652
8,29.0,548.2498611109407,569.9632542107239,505.7226091143897,591.5933508398775,737.84249257915,700.3989676137941,679.1620869069911
9,31.0,517.6246420661297,462.68426209363344,450.05170556989765,492.8933321746769,610.8677739902892,649.7563769260062,558.6172877964821
10,32.0,313.0108385305456,314.5934486894301,417.8012963690868,513.711127903132,582.5584860485351,688.6144903148304,762.0337320414038
11,33.0,506.44772905936713,604.4206113812172,563.7729722886938,501.0991564645645,402.16117002573304,373.0853566667552,361.57930814737705
12,35.0,318.7024342265634,368.42552632507665,472.92393398605606,533.5545925844675,630.7359947474002,641.811364064339,503.75110499278895
13,4.0,194.75396977215803,269.1671033983106,265.18404904771984,334.2174235523244,425.3127465287857,401.7535100956475,373.86537222063765
14,42.0,241.38832082907484,367.58994797937186,431.5712920950125,498.324140113365,590.5519997193775,601.7201013654518,576.7347124724191
15,45.0,194.29582804494171,390.2913008549676,568.6772840297432,721.4526977874522,817.0024974689845,906.5703843402077,889.8052699992384
16,47.0,381.89853879272937,664.9792184169943,821.5696413454496,719.598445696522,552.0598694411283,440.3438188009594,389.34583854923613
17,48.0,404.4570539322868,364.8492103634244,427.9451644777569,311.77330458176067,143.8556335124612,138.5768226068455,174.36856689062307
18,49.0,357.4054472734348,275.01449382885323,546.214192126527,706.0669586751413,675.5484279657244,695.4208718499821,730.8162829956797
19,54.0,383.4079943083305,431.3851635506514,537.4045956716207,587.4477815933743,532.8134637451973,718.2059424651852,733.4041222739838
20,55.0,421.40248818254224,513.0879580317938,462.0758528433354,534.8049316988131,480.1770092701877,403.03972501688077,434.8995264642749
21,6.0,312.5866390596106,314.2680918121338,400.6985915771488,454.7850418565236,442.01964605103194,514.2977532586337,569.2253915595484
22,66.0,77.19442199833041,75.55033004902586,54.79138657803003,83.54866212893187,101.34775991536802,106.18764145689488,96.99711000464056
23,69.0,277.0295392730326,327.66935736377536,485.018740715918,529.346231070616,388.1931967199475,361.7834640650344,318.63425303330126
24,7.0,470.87477678248035,422.44384350687204,500.05932375348516,496.46944434935136,392.5387322048864,367.4565814864522,348.48350707279894
25,8.0,358.9337322503015,367.680032961339,321.0237440066411,243.13600000000054,245.8029896074746,250.00375971262065,186.17474472042923
