,0,1,2,3,4,5,6,7
0,14.0,460.2604592002615,355.27370796153787,577.3730011857472,606.986874694577,602.1448215971303,564.3472298039469,
1,21.0,284.9113315669539,210.7276742508509,325.6783187277896,496.5864374891896,607.9438500949408,602.5512355422912,
2,23.0,274.5124370538507,333.9366862598931,370.53775056914867,493.9921770649363,644.3218158513739,908.753776744524,976.4939838003754
3,25.0,324.3609477184276,441.5619330390806,558.8021244823204,793.1525678639011,885.4946215355972,857.972267345918,
4,34.0,339.1658131023362,401.39349240190785,443.49224062601536,579.6745188676513,692.9937346666671,840.5974395900323,
5,39.0,65.76274859435776,18.286457214189923,65.46676088268316,211.47053153623386,284.6938781929404,364.54751322051277,
6,43.0,419.6192409769724,576.32881968636,571.7152124572349,459.82353802301293,424.1227038938797,407.30681300535804,
7,46.0,294.3874711190307,347.00841434708593,376.17514222406805,395.5164514652514,383.3414985472936,424.96761692229245,
8,51.0,360.59896650345536,461.7068108287405,583.8411645830538,704.7331398258067,759.2643387792095,865.7796373314942,
9,57.0,0.0,,,,,,
10,71.0,312.2578079695072,314.94785981230484,362.88093128922935,468.8303613362626,762.6418439049203,772.8209823746392,
11,72.0,261.57133841794337,404.7977301339322,467.0869372280209,501.7036132369465,508.53722978997484,683.4986930987707,
12,77.0,135.60099431445167,156.9072528847774,366.9873535008681,565.3538136256524,667.3464208085232,666.257306936689,
13,78.0,234.6788975055835,405.9685399031801,414.15919333103966,471.33331369706764,550.9847423578665,572.0624720553255,
14,79.0,325.97546586237604,462.7272893343524,632.5823794997825,706.7092098553561,790.4649855762759,878.6514718020455,
15,80.0,623.1311902080495,617.0255389902072,582.4354815585596,533.9774161175178,353.8290758319434,227.52756478827345,
16,82.0,208.82246172357992,377.0114279070583,373.9000451992607,315.46123382709885,303.85806281436226,316.32390108665015,
17,83.0,131.53853408974248,86.47842538487336,668.8487126627144,784.1927753547418,819.3416553809107,858.588590346488,
18,84.0,261.748828135756,389.56477206042075,587.4023867634573,730.085649190547,816.7610963223417,779.695258442323,
19,85.0,15.311154800015371,112.19417036814005,158.05878515390611,202.2379955679093,370.37672248110465,402.50234632195725,
20,87.0,239.35690707489653,361.606267966641,479.02936667049687,653.7237922444405,793.1661931464716,946.5412753967986,
21,88.0,409.3342557766945,582.7684190665074,814.0033395217067,907.3127925046001,913.7211103416937,885.4385094905381,885.0602577759327
22,89.0,316.3593430957002,325.3625726601982,513.7260794640412,733.4552022105668,827.489077348795,887.0001210100288,
23,91.0,465.2806152143164,663.5328231751128,721.8098063773535,559.3342224340931,412.0653231543811,512.2748906668711,
24,92.0,94.9449841840736,274.9900553295073,599.8840078480653,596.2968693394926,724.3094456302887,815.2128926607401,
25,93.0,0.0,,,,,,
