,0,1,2,3,4,5,6,7
0,14.0,708.5960630447323,795.1918860147109,656.1376671663896,419.2111075567264,483.2524712441466,650.9813692198636,739.2671280178222
1,21.0,0.0,,,,,,
2,23.0,0.0,,,,,,
3,25.0,434.38899873006227,599.3236947233618,601.1878655236452,510.3012295556961,588.5780828365703,709.3033898697346,796.6012839744046
4,34.0,770.1289275792669,827.8453685137436,622.6211267243424,361.06134196150873,425.64966284849766,465.23547367794225,437.947858654092
5,39.0,445.83020579934947,454.7944529101673,461.65172659089694,455.161613279177,440.8947530827741,440.9091083650744,471.8085693588554
6,43.0,479.62805972985507,382.41537564299955,514.0742350016707,679.2089556543277,697.4719320524861,645.0842795828776,634.650843330085
7,46.0,377.7081453157039,440.78480806070496,370.66819377050865,325.06680048621433,282.7686564395303,389.8199944586799,484.65797109437466
8,51.0,873.7921781442972,674.1572269934621,383.0170567372123,387.84257267072934,614.7856344526449,714.3270583536856,
9,57.0,120.5337222485742,202.54764871822846,329.6202064176793,499.63978567959316,681.2857110825413,828.8396860690829,896.6649182096869
10,71.0,823.2136643212091,571.537279519393,315.8675210324261,393.78126930653315,460.37984510425355,572.8322211080448,647.0057299895642
11,72.0,520.0603636796218,433.3757092758397,438.8852495454011,579.732663061728,563.904372285234,702.9609239956848,842.3931914508562
12,77.0,450.8190421238339,302.7546452978679,446.11802416683634,476.0788429236544,428.08376322573196,408.6909104453686,397.78046826529294
13,78.0,0.0,,,,,,
14,79.0,451.93060661897215,275.449642026603,242.51167660587797,452.15820601964094,555.9387180582312,659.4586619698413,771.9997995890621
15,80.0,408.83457644423333,467.8302442816708,419.5808447718181,461.56804925383466,530.3932701748474,560.9372840279731,589.6175232018385
16,82.0,665.7489548154074,629.3290475785221,505.14777707081214,530.4644759674146,516.3524859037765,358.038412736823,302.82611167701197
17,83.0,565.6030614606422,540.607437075768,532.3696563848656,646.7883244004854,714.9366223981533,727.2526487931049,778.6367182239978
18,84.0,0.0,,,,,,
19,85.0,255.68941749710132,333.2297628057938,590.7449034944026,594.6802887515645,455.45487344555767,511.7555773463332,487.99037676643565
20,87.0,0.0,,,,,,
21,88.0,0.0,,,,,,
22,89.0,634.943653138562,248.88811050404172,212.52473921581642,219.83796859614873,361.64532506751135,467.0918044310406,488.7846906484337
23,91.0,344.29073752825235,501.55420486766633,629.9640313510787,660.8157438397155,618.3151752665351,696.9985817033291,834.1257568510654
24,92.0,431.2117320209543,447.8868520260695,317.7837322861391,280.26677218485867,493.69218850919077,602.5528920106683,605.2443655557478
25,93.0,682.7804305761933,506.0879895866466,579.0334162834524,658.2162113822916,670.4263514666584,816.1006344845696,911.4217151628927
