,0,1,2,3,4,5,6,7
0,10.0,92.51222841674226,92.51507019261022,92.50836879720691,92.50950529310221,92.50779762036456,92.53690177023581,92.55245766128333
1,12.0,92.58475291198437,92.61691814427739,92.60366477260771,92.57782332717207,92.58424872204063,92.59603097717624,92.5774132081204
2,15.0,92.76489573444672,93.27979144084462,92.94091462567616,92.83422466739802,93.05009043068529,92.90307565953282,92.75926738467855
3,16.0,92.74449400582297,92.70201747386561,92.68767291075004,92.69412270897423,92.69388984718778,92.69307736350152,92.70095823990748
4,18.0,92.42681725907697,92.44632918471441,92.43967800395193,92.45018386116786,92.44046633466236,92.39870378641592,92.3807689606252
5,22.0,92.3415531357097,92.34315934951336,92.3507845531587,92.34746405099621,92.34713198153578,92.3381873794463,92.31043294860093
6,26.0,93.00261230765415,92.84519796333028,92.9857662827561,93.0596055500547,92.98786519198025,92.8707426590105,92.72651579674448
7,27.0,94.04841073979286,94.11201781833479,94.02702931667721,93.97480364219534,94.03524432420261,94.15120689221185,94.16547762022563
8,29.0,92.34587593302031,92.32952567859286,92.31665697860005,92.32337375235072,92.3348631294568,92.345350150349,92.34089964559276
9,31.0,92.30158876036157,92.72651705885207,92.71377847016747,92.8307175670621,92.79358293019136,92.65342385020851,92.56364465171578
10,32.0,92.36004163680424,92.36262392501148,92.29536939612274,92.32389268393031,92.33636052956179,92.32832364984134,92.30806206495903
11,33.0,92.6646242465285,92.63875961928696,92.5833960108187,92.61597350116683,92.72768441083211,92.71346113247414,92.65767966336281
12,35.0,92.426365553083,92.43417192538566,92.43517706553604,92.43301287183775,92.41122622376095,92.42072633462604,92.42154747753295
13,4.0,92.50235613890504,92.7502203187041,93.14851746020327,93.06019731075185,92.80611612383537,92.83836173674344,92.9289794810563
14,42.0,92.40908410406462,92.42410433630431,92.38819837782692,92.34509628105502,92.35539977880987,92.35612463324304,92.34256707057385
15,45.0,92.55897442575024,92.52574793941,92.583714045743,92.69471454784626,92.72882550601638,92.70224369449276,92.66977616081522
16,47.0,93.4069574040944,93.23346470566675,93.18492376565328,93.44543482912398,93.58716295350125,93.44550776131437,93.32817978799103
17,48.0,92.48981623055589,92.4830838298012,92.47689915847941,92.46304251315978,92.44261535084112,92.46866737451366,92.50825036122824
18,49.0,92.89552350357424,92.9716796102003,92.9958539659807,92.99981728648112,92.97942672733151,92.98181569342499,93.02374790984085
19,54.0,93.00085254669611,93.01297072255983,93.03780176534279,93.03251792286707,93.01518067065886,93.04860874963066,93.05326749487573
20,55.0,92.62565075699473,92.61017155081205,92.56234082538873,92.59133026453075,92.69217230087582,92.71450954072866,92.66805191147003
21,6.0,92.61584327198237,92.61135770526168,92.60353308212983,92.61804459002225,92.63438348992925,92.66888117497392,92.67032590363154
22,66.0,92.64565781882153,92.65718745303472,92.68901363617285,92.72286378844005,92.69546644349131,92.66266646800446,92.66645078203989
23,69.0,92.70210671118096,92.65267264756844,92.66105980825684,92.6571431926536,92.64179816141552,92.74274103257522,92.82900873146764
24,7.0,93.33728181490521,93.36290283525598,93.26156406974613,93.13043835393839,93.16645979776125,93.33210495557455,93.4383194915144
25,8.0,92.45706851793233,92.47399240705285,92.46943647552587,92.44239055145634,92.46757120346504,92.45467064465507,92.45623197596099
