,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,10.0,445.52855879506296,474.6249462088843,652.9781762166658,793.8869763049037,825.1475300876785,844.5989253425005,628.025764098022,473.0734519581916,614.2489101377457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.0,429.1160000069625,314.4857632140077,347.8486550916523,326.1313347787258,435.3133839093882,516.9417688031606,342.92758170187125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15.0,563.2547803817569,387.48635488440715,535.7390337718751,673.939993026743,793.2369070707324,789.3534717553296,621.1298199481358,530.6027749871417,462.2999834087246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,370.37632595303114,655.4280136823293,798.3677301744402,880.6156721752747,930.0912828618914,927.3818126485664,876.9991685722115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18.0,765.6302163688264,784.1660970080343,730.6345034708786,591.963683760785,499.64786864044703,478.1310016774257,392.7785844052426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22.0,722.4083441948053,746.093781380884,801.2075542004246,819.1483238648219,738.3018948399138,645.8861333497854,491.8105762165267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26.0,431.0573492613476,504.9110054752676,453.90951658190477,393.4083831528598,431.0835953439409,397.4573899404915,283.6402441855766,186.23663889054356,209.05865138850695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.0,269.77888105490774,480.8177594395702,596.4641478743946,600.7825123546994,624.509176239752,721.9265447231646,713.2830926950643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,29.0,560.4307879548805,661.9788469844809,763.2637244586846,735.7066637583838,749.361527944972,851.509642463281,745.5542896628007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,470.7772683455528,400.01546225187406,415.7104183924899,487.65894616077645,482.7321256750895,435.7706572385201,446.61664625084967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,32.0,613.1147857604291,318.78419593713295,293.3514481260172,286.9417048651354,232.1782969130166,145.72479361099892,80.83314393798521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,33.0,673.0180470889723,428.16011517945367,385.62938620007867,303.53235035306403,344.8804150050703,334.91895488059697,271.3929428487662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,35.0,278.895395659232,485.5322278702022,646.5083043666375,661.4478827086386,665.5527655871566,754.2277424661507,781.6348367071018,773.3006464913956,777.1313216233395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4.0,440.86752792678527,438.3387966867572,440.5226486352348,472.4107384838473,505.62781855815996,501.83342339391385,404.2708707020916,335.10963258660473,410.1313512916109,490.309573528123,488.111803435029,385.3281916052929,333.1401494913678,338.32418627774973,306.4630834393884,301.6336257634204,240.93063773693618,185.2021784719314,175.16812567461662,210.40891958854013,284.7306108029352,296.9344406658691,353.6077727570572,496.51867799844746,534.0781820724449,513.0734839485528,629.3651360048494,795.3567917834076,826.1821463158925,568.8473020027412,350.83735502918677,283.38292247100486,258.95653417794375,380.9134139856853,443.5650159268662,408.6726627029916,320.90132767540746,243.88398727531842
14,42.0,444.07440237075633,592.907053460787,745.0644335965666,825.6554275046614,811.9453501639301,786.8583265472446,627.5168684121179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45.0,720.99591262425,671.9690277480106,630.6454814567284,704.5225725554754,744.5518541155243,650.2655445062782,377.57941881449875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47.0,598.7513212813144,830.5539436768032,880.1998406262212,743.8859202719381,592.1786056053413,512.531214004185,387.1676961080549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,48.0,794.2176297319305,571.1591989719475,542.9518854412388,525.8063725253388,572.0348997965824,577.5405268689096,328.8316153263609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,49.0,741.5954280655926,586.8667032319447,678.1785481849901,763.9073380737022,715.1543524425331,694.103475336479,512.2234242318901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,54.0,537.6863056620191,721.2619929256216,736.9547611873169,782.8423423841485,780.9188100910221,635.6036826952916,559.3802400527527,581.8724772947868,659.6317588248452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,55.0,448.1253577559727,447.8582428207729,457.6131728325081,536.7926148453187,523.1836543490119,498.4435662179939,358.2130573325779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.0,124.3206089421147,142.4798066807573,168.24485824390047,397.13349600891127,587.8697799559969,565.6972888603385,516.5065501402271,413.5828860798539,418.80281676645905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,66.0,72.58935105127638,98.80659803088405,122.60340579328185,140.89615630651505,148.34621603448397,143.44301610827074,109.48248635185594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,69.0,435.3540564282307,468.06983536957574,493.52583659556944,383.1483525016783,316.57042270185116,344.277488989058,395.57693116320144,400.2362349375831,421.1351416826231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7.0,497.5269984183306,615.3715662646489,618.191949976697,572.3045571488933,547.6893696931428,540.0592067203561,513.2924391015956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,8.0,744.0678173679145,644.6469314100827,567.3587710136359,491.7244969165205,382.52664174040285,278.5251176971519,202.8565600203281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
