,0,1,2,3,4,5,6,7
0,14.0,505.7167514996755,522.5609161228739,480.2241312824046,434.78571995519894,452.4494102454194,492.17463966554106,514.4557263258279
1,21.0,0.0,,,,,,
2,23.0,0.0,,,,,,
3,25.0,187.95991416975477,213.1878308811912,214.87967412943618,202.18965319329135,216.08220453665356,234.78622171953228,249.94532299858665
4,34.0,386.2447164305424,389.02603924328633,375.98977000841865,364.97502316547525,368.81136713503594,370.1549084451085,367.57749020223224
5,39.0,72.81966665166782,73.34897333798278,74.5631778121244,74.90352799873368,70.04911707069628,70.02955549865527,76.48344636335521
6,43.0,102.13654961697827,87.26924018405775,110.46784696670461,137.91351412188885,140.92578972035935,134.40956742927963,132.92909058412198
7,46.0,374.53458163823086,378.2259630973207,374.38784522000685,372.60301666445594,371.42104467635244,376.4419357728741,381.5595248146025
8,51.0,95.9558627480485,68.01517639739264,34.22800933709856,37.93372306467618,67.5443975406777,79.97983990555304,
9,57.0,148.61695722228586,157.1383921222246,175.44074191944333,199.21868661939243,224.97582832537998,245.50062759195808,255.32760228176775
10,71.0,270.74531148711156,228.11539413481748,199.92706425981308,212.37982374559994,222.29086996848773,237.03455904912067,247.95622493623264
11,72.0,64.12723261632335,47.375943608647425,46.75293100686864,69.22824191483902,66.76901424917108,82.23528287240036,102.73464700876472
12,77.0,221.12497342256916,202.76239712418365,223.28315170525033,230.21120040486207,224.4767209806618,222.681343201138,221.30000015223115
13,78.0,0.0,,,,,,
14,79.0,298.1808109959215,269.3220734489261,268.5132443242388,300.6888119889756,323.9267537114864,340.06544793723424,360.73014472339975
15,80.0,65.05999806334047,67.90570841755034,64.55754795873213,70.23648344031989,75.80565146511029,78.25352962285717,80.86936049629757
16,82.0,417.1939926364554,412.35508952972464,398.78966400635505,399.5429421904613,395.7236271573625,379.8681379016365,375.23235490465777
17,83.0,540.1078722028411,538.1028218288302,537.5537277298479,544.3457053195458,550.3932228664767,551.2152030635284,554.7653863956812
18,84.0,0.0,,,,,,
19,85.0,72.97816491798552,91.90473561778649,130.1021244990776,131.99322624155775,114.70257757412747,126.42118768364631,122.21250065706417
20,87.0,0.0,,,,,,
21,88.0,0.0,,,,,,
22,89.0,90.84715655048707,35.14327385607756,35.43886785201118,36.96479926722911,60.518884803617276,82.00664208426336,85.91645993602677
23,91.0,330.81960952972037,351.83679556703396,379.3312684886061,383.9391150400519,376.15862173396863,386.70655883419806,411.3259151640414
24,92.0,347.34090397021106,345.53777894446,329.48462205038663,330.24893353251963,353.1304870107101,366.14356963005315,366.56662597588047
25,93.0,160.98505795347222,141.33170215516157,153.16644358376772,162.26886233791123,163.41903456968768,180.90246564063884,192.62939073235074
