,0,1,2,3,4,5,6,7
0,10.0,442.1863373806211,472.6256495790688,489.70056406237495,637.8696050394826,717.1676810952209,575.0441179798258,488.8980334845125
1,12.0,431.68575509910886,259.8913748823746,272.36238480091396,427.81075539642336,582.5853829532962,803.3109279943432,913.3176419986738
2,15.0,626.9107187641081,622.5291905383883,635.1420873291595,467.549215301884,566.5201387845709,777.6502728326834,752.7969938159522
3,16.0,213.00701950249078,246.55605569807406,450.6239202535365,597.281345067006,684.7528302794469,807.6758973976799,865.6711507106148
4,18.0,582.6229539300964,680.1571858026956,761.495155044717,771.1167242714799,702.751949083738,670.4699836701889,692.2221647299807
5,22.0,416.46104973348207,526.7023750842435,575.2824182156995,664.7528409033471,773.1639487988307,818.0836459804276,707.888776317345
6,26.0,235.03716508819258,456.05797795826555,512.4128720192195,424.3364938617454,493.18115214113914,493.3678188193928,414.2801950273765
7,27.0,289.3075189449414,594.1062599908067,825.3881645848028,826.2809757725942,734.9298356859694,718.3759566664604,808.8129755565298
8,29.0,576.2557138811205,597.6733218681579,554.4815666933465,632.3908315731439,746.3068801909527,718.8888462459015,704.1190102510618
9,31.0,542.0083203878085,490.18158769680633,484.9223331707764,511.29015343116225,625.6268647202902,664.73333270877,587.9574052704328
10,32.0,380.62960021643636,329.9453347446844,427.070291632361,521.5948166856829,590.3803891539835,696.889247762517,772.0066703290661
11,33.0,541.8799604423235,611.95578856814,573.7866557759654,511.9367704790833,415.84750494209356,400.9756149061999,404.27952316740857
12,35.0,345.67114742952805,394.2286655968156,488.2762220836244,543.4848175073107,647.8049746142825,654.0083643442143,517.458628097252
13,4.0,233.35049409567958,286.0779921379198,267.8768231905312,350.3919911832244,448.5468234679902,424.482685670999,382.1171804774081
14,42.0,314.39130355043716,389.26721215372476,438.6243263454159,509.8133538603029,592.6574906505318,602.2155854352133,583.9146018507465
15,45.0,227.78723533541435,407.8891773075579,579.3815180887566,728.5275687780148,819.5956816963874,911.1750318543708,907.5701956011718
16,47.0,425.01661561680044,697.8247698899398,827.3946210819598,734.5638724366586,571.2495701157358,448.5668536193764,402.2045060364237
17,48.0,436.0991469530084,370.99130464580435,432.16950229863335,343.32646383564366,155.94262093655908,152.84291793401,185.0951185632859
18,49.0,424.42916916151296,299.46236390799146,591.4630403627419,719.4590488765422,679.5449217939896,701.2001149975727,742.0710996428497
19,54.0,433.1416675458164,462.06119040525135,571.067549511542,635.352625377581,588.016243623728,748.420232533453,770.1418496551101
20,55.0,469.9223280200858,526.9807099401739,474.8197873216731,555.8922109097782,509.2850789682635,422.61550326247595,459.8655875312062
21,6.0,330.8880035176592,320.280858465994,429.4750458867967,474.0068432513016,451.8360454205934,526.8132071734997,583.3784879428423
22,66.0,190.0304028322828,189.97181088428712,60.48382165840338,98.14383778229708,111.83027571589795,108.78725825885986,102.29671039511052
23,69.0,291.5301870902691,330.19265570973397,540.6028189047912,572.9595320813148,394.9178116157226,363.8806964399701,331.5095710624849
24,7.0,490.6049304765069,444.7508253782881,520.5426166784665,515.1056751009685,429.6639079164733,412.47247384516004,382.49989070446253
25,8.0,389.9824199448142,374.04455208711175,336.9959595803793,246.1384643755987,237.34603589467605,241.93392896417734,198.40347065937155
