,subject,CLIP-1,CLIP-2,CLIP-3,CLIP-4,CLIP-5,CLIP-6,CLIP-7,CLIP-8,CLIP-9,CLIP-10,CLIP-11,CLIP-12,CLIP-13,CLIP-14,CLIP-15,CLIP-16,BIOFEEDBACK-REST
0,2,53.29248023437958,53.97215900836475,57.55180927787584,70.42035966360075,57.65679106189969,83.74977427646013,58.39886389723726,76.33075450331263,71.55826629886309,69.9772767602627,82.82037925520638,73.6068598818991,94.76143260459165,91.62101344566395,76.16658676022341,99.45429333409915,70.05994273774921
1,3,34.8786228788733,48.517564671288405,23.399969951903785,35.88664370862975,57.050416299971026,47.12494983500113,44.37174725484137,51.12041078563402,57.00965309331541,69.60484689117419,37.58841429069454,54.960053299371374,45.94749904525152,46.92162496002125,38.982297271896776,103.87287788419619,97.53449068766281
2,5,69.54989725813245,61.86911169758719,70.62341443647898,87.54669695606529,73.54638192858015,75.05206526139038,69.50939185142937,72.25173008309213,81.63736912483336,77.88536561841892,82.39471396205516,80.38163410003379,72.27158776420498,109.39905478202635,82.02031067081465,84.38305208813341,73.09762041652068
3,6,52.1474812720261,39.22430309592216,46.11322837529092,38.88036163423074,71.77622626321728,85.48365704216084,46.501488440784044,45.141988962980115,54.179583755491954,66.29609036461453,49.16461901930706,55.937847707818676,60.34337009191305,55.888200588437776,70.45870955436324,43.589914240433075,47.12920169384491
4,8,28.467213109509373,22.05948987964137,30.73032480389537,35.6323952328173,31.872211537136355,54.798486723550816,44.596407694165165,47.86087734514395,25.121924908555695,32.356413583708566,16.101769072976243,33.64811369981318,49.704462257813496,29.971367262732947,53.28441634233512,32.731739461051106,24.248839209971067
5,9,13.202016063442054,12.36099568532713,22.627809149663168,21.95765562577661,23.010829404786648,21.843874600451795,25.415283573441734,21.417884157237687,17.58098145983065,19.984123831592054,39.93605034657221,36.46049384174722,21.140896385915145,26.348097127159342,31.054336319372037,33.77761097517247,38.49359246898661
6,11,36.85951453396386,49.62080282807595,40.064509613316815,30.48757870704693,137.54570462823622,34.7048952176219,32.21388330183778,68.57653526560848,41.95370569508842,187.99933510520722,49.47941214350568,177.21003092863677,27.50938983193956,92.70633024675321,41.907607866329556,50.8291366660452,128.2648516864163
7,12,66.74301184116304,74.33807073317533,190.40891669130298,46.19597333372001,37.364824000136004,32.596481593032365,44.670813397117,39.58996968313609,40.28624953693716,38.140365755980895,41.595964697346346,41.82234097367614,32.52148155310067,56.94298814093229,47.871799461410156,32.98821338330135,30.277177001632552
8,14,90.24013412762736,73.88494010960555,84.73093929075664,70.16785390703487,92.35926677805327,59.252415489731625,91.15581747160672,69.3546613984712,70.14813786320163,33.835995145318954,75.32296665561425,69.64124025137691,36.29173244349187,65.11839427870976,49.98214341928074,57.23019453017121,95.31863357442556
9,15,59.30732162589624,92.99085499736859,93.83398279158041,141.36831328130077,66.39129739994128,140.24532077755748,55.990136985520444,73.73940601876313,49.253353765432635,83.58229477586745,63.307410962921885,60.95743452220911,63.85577339406226,70.29261285515834,71.95361223767426,66.10871892640178,81.28438937903516
10,17,41.23724791285132,52.29616514515084,44.10215414239989,49.108440098305806,54.06317738014942,39.016849671976836,36.63056556773486,54.27407060912632,63.23170502769998,42.50804151863504,54.350052435962596,58.34216822976328,35.468929821732175,53.59329445870537,47.92647228371947,62.20477147092496,29.468806194558994
11,18,46.16515000642475,29.106270170583798,35.13689890535161,38.13952452264982,57.53722746516987,87.12185369529477,31.918953236586358,71.56083760990356,89.06233078822999,58.27892258847723,67.06081096187181,80.96068301664327,67.24924935240197,59.665275749932654,90.60534115804036,78.4891183868187,63.963549294161034
12,20,30.417809606210266,42.607196278199545,47.37131225901949,45.59752491431122,37.045401011475505,49.866602095341804,45.30248652378073,44.88628140666274,32.587196336325036,32.92247941707672,42.27112575461361,44.07590876057292,38.125439154446944,48.98387477632124,42.689953306852004,51.20343132629496,86.28994148962916
13,23,102.95045095323246,52.142045097416485,105.55879951537833,144.01273682333425,110.97711888363655,69.21560699761211,135.36585585204105,107.90376370739912,94.34059906837703,107.97158866174456,85.3525580846739,98.91550608347511,116.7679322416904,124.5266376844041,116.63089027351572,116.11108958220547,61.38284527666249
