,subject,CLIP-1,CLIP-2,CLIP-3,CLIP-4,CLIP-5,CLIP-6,CLIP-7,CLIP-8,CLIP-9,CLIP-10,CLIP-11,CLIP-12,CLIP-13,CLIP-14,CLIP-15,CLIP-16,BIOFEEDBACK-REST
0,2,6.574043362381091e-07,9.758743680678538e-08,7.27610871584623e-08,1.4843234205224993e-07,4.0587895313260546e-08,6.910930836200218e-08,1.5532318410616907e-07,9.838898353152285e-08,6.473101470501759e-07,3.688441666180222e-08,2.8637489155021836e-07,2.81863255176116e-07,1.9168301491906834e-07,1.8487472359540258e-06,2.215854358193623e-07,3.3214763832910234e-07,4.1143914640340073e-08
1,3,9.463094703892973e-08,7.474663947481424e-09,9.174572758841022e-09,7.581872775034411e-08,1.667913488658382e-06,3.265641247869306e-08,1.3544502771086759e-08,9.37601911989402e-08,2.352757299392268e-08,1.796031259305282e-06,3.152163746908126e-07,1.958841711469068e-08,6.639530522716328e-08,3.218782268520969e-08,2.3831089939168556e-07,2.417339790809174e-08,3.7084341214988313e-08
2,5,1.3361222245976374e-07,1.561735552024228e-08,2.0713085370881144e-08,1.4336313233252008e-07,1.1197202676561967e-08,1.1219264658962538e-07,5.922830573517746e-09,2.2778922523330634e-08,8.786077143119421e-09,4.1527413040850276e-08,3.891543106723628e-08,9.709943314115811e-07,4.7775735374937846e-08,8.785026213871509e-07,5.91196947486662e-08,1.5225457292720123e-08,2.29362682396347e-08
3,6,1.8801194071610137e-07,8.010834730994775e-08,1.1341914881917484e-08,5.869557994160264e-08,8.240504747484877e-09,4.691743286320302e-08,2.672195963074678e-08,2.9136983639400487e-09,2.0644662670708848e-07,4.4666676206774766e-08,5.847606494167322e-08,1.0562390615966325e-06,4.7043920808988464e-08,1.2572012801315507e-08,6.935088459920554e-09,8.354720500815943e-08,1.1850998749062262e-06
4,8,5.2174444298186055e-08,5.060753271951507e-07,1.8133515280711292e-07,1.693957466132425e-08,2.9148176999379728e-08,4.406782099562671e-08,6.705014809685711e-08,2.9750137254524986e-08,2.0256633328300668e-07,1.5069806194848076e-07,7.500875651909017e-09,1.77948928293924e-07,1.0653848052192657e-08,7.97028445833364e-09,4.994820031848809e-07,2.929235659430763e-07,1.695649273003977e-07
5,9,1.7788965542451608e-06,2.6207407256138836e-07,1.7234926400324306e-08,2.5205616974803497e-08,4.2305300867184665e-08,2.2094952003650022e-08,3.649280926442138e-09,1.7403298582665606e-08,2.3895693892618476e-08,2.609965242003164e-09,4.800915721689199e-09,6.565544067759812e-08,2.6831165336893882e-08,1.838059391157245e-08,7.159202835308366e-08,2.0041694431762753e-07,3.2095546227673165e-08
6,11,9.650304287539012e-08,2.1313634963225285e-08,1.1198977338240223e-08,3.2799361454888e-08,4.1263126352375094e-08,1.0942532679126854e-08,7.355433833429088e-08,1.0216624024133114e-07,1.9543448142973043e-08,2.021787656866154e-06,1.290981106748981e-08,5.213893510556157e-08,1.4713415042970936e-07,1.111513603995336e-06,9.678784247174513e-09,3.335227980539629e-08,5.197087413342286e-08
7,12,3.294351266100386e-08,1.4254179351942357e-08,2.3366418551976793e-07,7.043465478561214e-09,8.167563079619765e-08,2.8184830866024395e-09,1.0307798116900288e-08,5.588664526401693e-08,3.8278270044673507e-07,3.4030252827384756e-08,3.8644392863355257e-08,8.686665857650753e-08,4.882863217669184e-08,2.1584609329374164e-08,2.5180985464713e-08,5.181209023379663e-08,3.588592146324745e-07
8,14,4.9355190345545855e-08,2.0966509631032118e-07,1.307071960990463e-07,5.615834573245636e-08,1.0488423866420261e-07,2.3666721091961005e-06,6.351483207107849e-08,8.957379990456007e-08,1.113880311471421e-07,9.477840803194052e-07,3.551562124233452e-07,1.4692120421045102e-07,1.9655606568079405e-07,1.869200087318153e-07,2.195688381742442e-08,1.4761448491503082e-07,1.0456303437803997e-06
9,15,4.0749307773872295e-08,9.21198850335515e-08,1.5554443703040953e-08,2.5472961133230464e-08,2.9361714808132456e-08,2.4603734297564237e-08,7.480560575076694e-09,6.565827645816785e-08,2.5931023027832715e-08,3.436905330375013e-08,1.2713894939886638e-06,8.324945481006581e-07,9.389232853850137e-07,9.56863928709046e-08,7.013533382196942e-09,2.5268474181143684e-08,1.283170123840973e-08
10,17,1.4445422085281205e-08,7.708685414515565e-08,2.3307007302295466e-06,4.562749696982598e-08,3.751764138607724e-07,1.6512640866418876e-08,7.4156712658644e-07,7.968066912978097e-08,2.7171134978677215e-08,3.4620370371901006e-07,6.184950743498852e-09,1.908694087055856e-08,1.133413587142532e-08,7.3761731494355096e-09,6.600796459700774e-09,9.906799514639086e-08,2.334740428985985e-08
11,18,1.2011407731122222e-08,2.9604237270812025e-08,8.875081530559811e-08,1.2309836189569285e-06,6.308523938979627e-08,1.6951970664267115e-07,7.0833979900576984e-09,4.32102335461455e-07,3.858700913035365e-08,8.227875425592317e-07,2.512858198790732e-08,1.4484660329900069e-08,2.5739092395573786e-08,5.2336379362849365e-08,1.868797049495419e-08,8.869476265148706e-08,1.0929129548777903e-07
12,20,6.301473230609282e-07,6.088332647357702e-08,1.5284652930675595e-07,2.1997048745597133e-08,1.1357904789026605e-06,5.984406729187765e-08,1.6698738973518818e-06,4.474446163372693e-08,2.806598071203683e-08,9.90442965178255e-09,9.487270471416067e-08,3.2781870872437815e-08,6.653305808151119e-08,1.3381125582949362e-08,1.581174429657177e-08,1.3273060222048498e-08,7.652126134254734e-07
13,23,1.5760382307082183e-07,3.3639278674750986e-07,5.711698985855618e-08,5.069868476546671e-07,9.811155807870343e-08,1.0669953403612733e-07,8.441787688412853e-08,1.0776791916650431e-06,2.1835811744298585e-07,1.4316029170874412e-06,9.337338967482741e-08,5.596819232996191e-09,7.524227030128405e-08,1.8672578908585492e-07,1.2261410819950523e-07,1.3427676271599628e-07,4.6940044203525874e-08
14,24,2.999941955964458e-07,4.599013566812544e-08,1.0614517432507838e-07,8.342286893711527e-08,3.370204775065199e-07,1.6621921901988403e-07,2.2453778400944656e-06,4.725977076429556e-08,1.0092078905925166e-07,4.099672859727996e-06,1.8908868913478665e-07,8.150587942309468e-08,9.816311799794811e-08,6.96945697178158e-08,7.808248990707865e-08,6.104195330371829e-08,5.519579880536786e-08
15,27,4.017907290956695e-08,1.2692174393497498e-06,6.385261396942124e-08,3.2382556824356456e-08,2.802225533186651e-08,2.228859686853732e-08,1.2928801551488104e-08,1.319773112810984e-07,3.3190836700405016e-08,5.677017643593311e-08,3.414417115167539e-07,1.048191866145689e-07,1.0992558908695193e-07,9.904993437914808e-08,8.55613745271774e-08,3.085092926309127e-08,4.210146121244907e-08
16,29,8.342234701803109e-08,6.321595028876356e-08,2.185420892397604e-07,4.622461142882132e-08,1.2442271748188067e-08,7.687762081526689e-09,4.81667417902736e-08,7.646283108458557e-08,3.3808931157602414e-08,4.713756655600354e-08,4.992709122134666e-08,1.3635396371211572e-07,7.744185261126663e-08,1.893042255707393e-07,1.2669853661036223e-08,4.640684887784146e-08,2.390490932502132e-07
17,30,1.0683554423178855e-07,1.6705427850942037e-07,4.940675426735078e-08,5.862652990726878e-09,2.140379826279519e-07,8.946746134494975e-08,7.720474868303067e-08,4.456101312483604e-09,4.44281744473495e-08,2.385469011354767e-07,5.947660266945576e-08,1.0981964598987854e-08,7.794015479110591e-08,1.0406173338771925e-07,6.751208383892026e-09,4.924762650161824e-08,3.8368944507425714e-08
18,32,9.265198004995401e-08,3.565071150439789e-08,6.309245158977448e-08,6.892719759278267e-09,2.5033502832770326e-08,7.881225465291441e-08,9.239523777101639e-07,1.8466355058921583e-08,2.0425360256516485e-07,1.0579434876846374e-08,3.504819496217432e-08,8.378772734442919e-08,6.97258298054003e-08,3.691988942662331e-08,2.1228509086280633e-06,9.6754147139945e-08,5.8244836846488494e-08
19,33,1.6868170621299723e-08,2.6699522229203356e-06,2.6199217162901272e-08,1.2525271031053088e-07,1.3339649450460234e-08,6.363415481916695e-08,3.3239396682981477e-08,1.1457275912396108e-07,6.491139926116915e-08,1.981794356041377e-07,4.172709639458131e-08,3.3477433966982684e-08,2.859211562700891e-07,1.1248943700800301e-08,1.0111713005022842e-07,2.3077457247781366e-08,6.027650898636375e-08
20,35,1.682357818378051e-08,4.444509841892073e-07,1.487663408941603e-07,1.5235433631969632e-07,1.597976508338238e-07,3.0928678044603645e-08,7.155422789442376e-09,3.5988089576711287e-06,1.0733400763428568e-07,3.566426006824077e-08,2.9454779245457774e-08,3.59220402118487e-06,1.3543935578377993e-07,2.465663964769935e-07,9.983671242418483e-09,1.485884097586795e-06,1.3557765829396114e-07
21,36,8.699503537523651e-08,2.2368428951187476e-07,2.2576701347321828e-08,1.3602595120634166e-07,6.519835413005965e-08,6.843712396719543e-07,1.3834412513861362e-07,1.1796560529477567e-07,5.945593902402278e-07,9.713912427982944e-08,6.86422944880717e-08,3.230796080787251e-08,1.2849871550176386e-07,8.869008108035493e-09,6.432065376603671e-07,1.4600721109729922e-08,3.01245928118061e-08
22,38,9.884848401205131e-08,4.982730649250651e-09,9.606445443788433e-09,1.7914449847450362e-06,1.9419397826768982e-08,3.2356905792065e-07,2.1018567901867196e-08,2.549699813038451e-08,3.287755040960959e-08,1.7582975284001245e-07,3.925621758258856e-08,5.364322530826989e-09,1.0438263401278615e-07,5.115200435678949e-08,6.536606952116625e-08,9.508099991331663e-07,3.394164445148877e-08
23,39,6.593693753426618e-08,6.978126541934933e-08,4.904701581081339e-08,2.0028797802308173e-07,3.3087797130671425e-08,7.102268336228272e-09,2.9565262122284963e-08,1.9777490106614578e-08,3.0258683299706304e-08,3.9188647522409884e-07,7.154439184819576e-09,8.113530902468729e-08,6.288256839650601e-07,9.177627825990314e-08,9.616912651092609e-08,1.0310519460482818e-07,1.9709816445454596e-07
24,41,4.973269126997156e-07,1.275426966583898e-07,2.9179335425453076e-08,3.4753168384227275e-08,3.2013610101834557e-07,5.7451044827010925e-08,1.8142005005444766e-07,2.048512679561457e-07,4.164190913844548e-07,5.269852548172883e-08,2.8143969115076004e-08,9.886519272981016e-07,6.30245067176275e-08,1.6502411368905113e-08,3.160266021872906e-08,1.4357666590904777e-07,2.015759048052245e-07
25,42,1.819289829604605e-08,5.265872239742387e-08,7.604115354917658e-07,5.3216893591076725e-08,3.466774456403221e-08,1.8105182086306434e-08,1.259930288311158e-07,9.406523026052595e-08,2.781539906283578e-06,8.682769188891127e-08,2.4021079050504997e-08,4.9034782472391895e-08,2.500431692240864e-06,1.111293053979443e-06,8.601404829448879e-08,2.478941875578906e-08,3.3047516713386054e-08
26,44,5.01165659851342e-07,8.923911643439383e-08,3.091957203106209e-08,1.719324172932007e-08,1.6451558669651222e-07,9.054243563606803e-07,6.185745232821958e-08,1.0243547085448757e-07,5.725482167445896e-08,8.367000482059738e-08,8.269071572430186e-08,4.342414469421336e-08,5.851433986807166e-08,1.5094279992140672e-07,1.5029663282219688e-07,6.946189457907634e-08,4.4476984743069095e-07
27,45,1.0953388032939199e-08,3.6716356948255963e-09,2.7163630605409704e-07,2.16742182171514e-09,2.5221340351904878e-08,7.611723569572853e-09,3.6183087775824666e-08,9.16793811294111e-07,9.155701089451835e-07,8.291048978289444e-08,5.461727908107669e-08,1.3451458476241315e-08,9.234421183552818e-09,7.743509419543046e-09,4.3975035015765025e-09,1.1998878986309825e-08,6.43528659183611e-08
28,47,1.203775067037174e-07,1.6933126780065883e-07,1.3143572212764623e-07,2.313547354182583e-07,1.4404488896071775e-08,3.0721015465978095e-07,1.3279735039442348e-07,6.88547663526594e-08,2.0173087230917908e-07,3.517693901644958e-07,7.253547013883262e-08,8.026768252571923e-08,7.688472964238329e-08,6.678138449603879e-07,2.5713687082202857e-08,9.249444528134114e-08,1.3963193452292115e-07
29,48,2.708963865767228e-06,1.0285966226396158e-07,4.359736507476007e-08,2.922240776614939e-08,1.939639103174535e-08,3.375769785900034e-08,1.06404376080982e-06,6.198693780894487e-07,8.944560653931524e-08,5.2137844233019435e-08,7.504792853106547e-08,5.2214418817236023e-08,1.4604935981659147e-07,3.455721323745168e-08,1.4159075434783998e-07,8.069693047182457e-08,5.032695595719154e-08
30,50,1.4460168713781004e-08,9.977399982493476e-09,1.6415216057719248e-08,6.866570560003032e-08,3.609260971751879e-08,7.004809975155191e-08,1.365778124689787e-07,1.5013171402537775e-07,4.379012054909043e-08,1.2369154410991915e-07,7.755590453051339e-08,2.5217313235460618e-08,3.0580128174867536e-07,1.0557911419257247e-08,2.1211985471388146e-08,2.2035560946002413e-07,1.531509599086267e-08
31,51,7.881554266076804e-08,1.975328185166224e-06,4.909938644750961e-07,2.991437194670225e-08,7.898098569955527e-09,1.2617552143468025e-07,3.30444164018953e-08,2.0612188719355236e-07,2.3379063852293803e-08,1.0486491508231353e-07,2.4195043482610743e-08,6.25067306923744e-08,8.642364120136942e-08,4.616446760786802e-08,4.975417109460365e-08,1.6913508534922856e-08,7.459587410610696e-08
32,53,2.2357204696691942e-07,3.484357354031163e-08,2.0791641937126905e-08,1.9021683745695882e-08,2.017454190401686e-08,5.797197254356135e-07,4.807883429028401e-08,6.61875298428868e-08,9.785631170422975e-09,2.2061025393990728e-08,5.858091201540736e-08,3.4033418389751615e-08,2.8724380412102995e-07,1.2403267571820712e-07,1.7980190399924985e-08,1.7243414542075916e-07,2.2785371634260751e-07
33,54,8.01977000599052e-08,6.337700494265393e-09,4.2883190245696e-08,6.703428967381645e-08,1.0408284010154699e-07,2.9409787616687017e-08,5.968818298609601e-08,6.128973267384892e-08,3.545167480995972e-08,7.173030294298832e-08,1.9964338868027874e-08,1.3120566992208893e-06,1.4719091506311297e-08,1.1412224595228216e-07,8.90079481519442e-09,2.309223089872346e-06,4.487412180059424e-08
34,56,8.745739969748436e-08,6.137407680886539e-08,2.037605704813973e-08,8.86275193738397e-08,1.2101644363622534e-07,2.070586798753712e-07,2.291236298094785e-07,1.0317256369345391e-06,1.354837645979554e-07,4.8967823005604915e-08,5.946659117130603e-08,8.14942853572335e-08,6.56410913354695e-08,3.3098030553507947e-06,3.685065064151654e-08,3.601132146988064e-07,2.409160197679914e-07
35,57,1.2453085868695172e-07,1.4069579926755608e-08,4.7856949872947374e-08,6.378942363617757e-08,7.359443451083509e-08,3.0079057981807836e-08,8.633407409879315e-08,4.6188596106208966e-08,2.503603940970923e-08,1.9664699359629117e-08,2.1401525806506023e-08,1.4684895740981119e-08,3.396002158167229e-08,1.0361110517776544e-07,5.593909922851607e-08,6.020705469072668e-08,2.812352078990029e-08
36,59,4.7107287335993393e-07,1.837104605223653e-07,9.341119422791312e-07,3.93124651511996e-08,5.185621350368747e-08,1.5179668158396611e-07,6.190378906658322e-08,1.3226474255785946e-07,2.236381545240073e-08,2.4287186062015806e-07,1.2561202027140671e-07,2.994493743363502e-07,2.4925507847832245e-08,1.3867148039092718e-07,5.693277913798573e-08,1.1296776317573495e-07,3.855595246402454e-08
37,61,4.8099136987370726e-08,1.1478408170950811e-08,6.614550796500919e-08,3.040963360540938e-08,2.7167549030816224e-08,3.8758125970366786e-08,8.042542792780991e-08,1.4341191204093173e-08,6.877325953756353e-08,5.305814098771775e-09,1.0591382309816008e-07,1.4566213445377504e-06,1.2572710680568398e-06,2.0821883291743144e-07,5.6628655217900876e-08,1.2394775695907008e-07,5.9140407586997174e-08
38,62,1.450231637391702e-07,2.2721419104442173e-08,4.527471786849653e-08,6.177862337444107e-08,1.1941158206230166e-07,4.576946211584673e-09,5.468495806134688e-07,1.4978221083459284e-07,5.573759460285128e-07,2.0692434334438423e-07,1.6103479553637063e-07,5.323269534312734e-08,2.2163100859185097e-06,1.971062476893916e-07,1.5022371736326968e-08,1.8086979894756248e-07,2.1871663158340424e-07
39,63,1.0074963696208213e-07,6.100729013871503e-08,1.2750785868363411e-08,2.971788916232825e-08,3.6727160024735476e-09,4.0133500340233163e-08,1.1035520347126882e-06,3.960941396148027e-08,1.1018614722325745e-06,3.652545390783291e-08,8.933987457418149e-08,1.1224332200359522e-07,5.100939609778484e-08,2.1089430414805797e-07,1.2885322068629587e-08,3.195040433221917e-07,3.0156045762395726e-07
40,64,2.5507043347127747e-06,3.29724105543e-08,3.97616166583819e-07,1.1149067246420492e-07,1.2305571639590737e-08,8.002720610476625e-08,1.3944085883357026e-06,3.955528123129825e-07,5.2374821210798946e-09,3.2275716055152704e-08,5.080576614641053e-08,8.854533000595468e-08,9.793763176701853e-08,4.3081109688745914e-08,1.3209489727469937e-07,6.14007884413083e-08,9.863566314575736e-08
41,65,7.940165186471979e-08,4.49403010696569e-09,1.9023189003470143e-08,6.735740313887112e-08,1.4141024895347894e-07,4.61250618515253e-08,3.840259658581749e-08,4.015034020009291e-08,3.094086677304517e-08,6.26380726364553e-08,1.5025178745573378e-07,4.19836579407997e-08,2.866002438086586e-08,4.887482537898296e-08,7.380268090633057e-07,2.2147875223182965e-08,2.5592638940148212e-08
42,66,1.756855134497527e-07,2.5850925334882907e-06,3.8828277896460906e-07,8.736165060805986e-07,1.4056069609038217e-07,2.4955714824141743e-08,6.107497253768468e-08,1.1111566692588473e-07,3.683140591935364e-07,1.2228728985364492e-07,5.0998389342557534e-08,2.6009644151077043e-08,1.1017278106861274e-07,6.489329421492342e-07,1.299724022567653e-07,7.604554098394826e-09,1.0644209166379523e-07
43,68,3.614792735251348e-08,1.6857184955787852e-07,2.1726830982491818e-07,2.9318967833711524e-07,8.685504986803678e-08,4.0624768805684523e-07,4.912759189437688e-08,1.0069595806164359e-07,1.4523592710967585e-08,5.139751629957319e-08,1.4484213559021722e-07,1.062412596781424e-07,8.495252084258344e-08,5.81603875131895e-09,5.79557267512052e-08,7.931462958995009e-08,1.680565000105612e-07
44,69,8.20016221413495e-08,2.1569574146600075e-07,1.577298419870726e-07,1.0185220746587968e-07,8.153841347201975e-08,2.1896226946334303e-07,1.7893671425593268e-07,6.100588480959627e-08,2.1498316027148005e-07,2.0783982231736876e-08,1.1134511449144355e-07,1.5483541532526448e-08,3.4721646508065823e-07,1.7849520227270504e-07,1.8674971726215587e-06,8.892212919510374e-08,1.680656739858197e-06
45,70,1.3800712890185463e-07,4.460481127543018e-08,6.084774814537246e-08,5.96699081900971e-08,1.0467842726960156e-06,1.634608536284462e-08,3.476144517294107e-08,3.914885393251964e-08,,,,,,,,,9.887615700210512e-08
46,71,2.0985371029747405e-07,1.2259825101341518e-07,3.1458502634803625e-08,1.006158439847951e-08,5.306140130638475e-08,6.167502566175675e-09,1.399393783242672e-08,1.1990250300225545e-07,2.5166992602703177e-08,2.0421173363208674e-08,6.283841677665877e-08,7.285404425420453e-08,9.977739303650376e-09,1.1276528487399073e-07,6.09560061500675e-08,5.6213144425243966e-08,2.6330448795556444e-08
47,72,3.404307271271235e-08,1.0442182572964391e-08,1.6056815852483324e-07,5.4284764498858364e-08,8.889408093852831e-08,4.9219080846519094e-08,2.1615777616924672e-07,7.426051287395888e-08,8.027341164226992e-08,5.200291371065457e-08,2.1637935464199456e-07,1.2211848276616884e-07,8.959138462533445e-08,7.259962899703318e-08,6.742402030840557e-08,2.0143048428330026e-06,2.737784462484071e-07
48,73,7.078497909014486e-08,1.3105119407498909e-07,6.694018460419862e-08,3.7181166299374915e-08,1.1515823277759901e-07,1.4748361032715728e-07,1.5227801558136696e-08,1.2411836350029786e-07,2.9194040312272592e-08,1.0760496079406774e-07,,4.9144889562494154e-08,5.3114761564542724e-08,1.351593831930599e-07,7.789760015435901e-08,5.029533019465918e-08,9.94043847621342e-08
49,74,1.7991585664731595e-08,5.584931771619929e-08,1.2454543588043008e-08,1.6616814705253895e-08,4.9030190844494546e-08,1.2914950362331928e-07,1.9543571863861585e-08,1.7925177594876543e-08,2.0475232214366206e-06,1.7149166427807152e-08,7.11864964263239e-08,1.1885355246505061e-08,6.070165669186308e-08,1.0043887932614199e-07,4.008061706412908e-08,1.491922097209302e-08,2.443179304233772e-08
50,75,1.451495067817339e-07,4.7025140330919246e-08,1.2615775070667724e-07,4.094362430675093e-08,1.0164924572258954e-07,2.1568782063415196e-08,2.8596667261552545e-08,9.73482410057794e-08,1.7710505510905513e-07,1.0955808484651555e-07,1.8738377233680872e-08,3.2187836855416275e-08,1.3401140983999737e-08,1.5188020662132759e-07,1.3310303403783854e-07,7.97404662463288e-08,1.953839747530581e-07
