,subject,CLIP-1,CLIP-2,CLIP-3,CLIP-4,CLIP-5,CLIP-6,CLIP-7,CLIP-8,CLIP-9,CLIP-10,CLIP-11,CLIP-12,CLIP-13,CLIP-14,CLIP-15,CLIP-16,BIOFEEDBACK-REST
0,2,639.516129032258,676.6037735849056,678.3018867924528,709.1935483870968,657.5,612.4444444444445,661.639344262295,720.2941176470588,688.3561643835617,711.2068965517242,684.4827586206897,670.7407407407408,737.4242424242424,690.8196721311475,703.943661971831,712.3809523809524,656.7052994991653
1,3,802.8301886792453,838.2142857142857,823.4375,846.2903225806451,789.5,851.7460317460317,834.9122807017544,861.578947368421,852.0338983050848,807.7272727272727,850.6666666666666,859.0196078431372,801.0526315789474,876.8333333333334,828.9655172413793,522.5925925925926,715.067404162923
2,5,765.7142857142857,737.5384615384615,767.0,752.6865671641791,764.7619047619048,766.25,744.6666666666666,796.25,796.7213114754098,782.1538461538462,846.6666666666666,798.1538461538462,812.6785714285714,750.3174603174604,768.5245901639345,823.8709677419355,815.8165978784258
3,6,924.3859649122807,851.4814814814815,826.8253968253969,886.7241379310345,816.8253968253969,813.0769230769231,830.8771929824561,854.6774193548387,874.4642857142857,823.5384615384615,865.3846153846154,869.4827586206897,846.3636363636364,809.8039215686274,863.4545454545455,805.5737704918033,783.4467759955883
4,8,650.5333333333333,635.9375,664.776119402985,655.2631578947369,637.5342465753424,624.3373493975904,615.5128205128206,648.0555555555555,570.0,616.75,574.6236559139785,622.2666666666667,614.8101265822785,593.1395348837209,614.7619047619048,599.1139240506329,598.8207264213012
5,9,650.2564102564103,664.3589743589744,688.1944444444445,634.9350649350649,693.8235294117648,667.7027027027027,676.8181818181819,692.1052631578947,690.0,726.7605633802817,699.0277777777778,666.5753424657535,673.25,680.6666666666666,673.918918918919,639.5890410958904,722.064558776552
6,11,853.4042553191489,841.0204081632653,881.0416666666666,869.6296296296297,560.4761904761905,907.4545454545455,861.0204081632653,883.7735849056604,880.8695652173913,447.5,907.0588235294117,397.22222222222223,889.7727272727273,582.3529411764706,892.5490196078431,898.9130434782609,578.3155949161273
7,12,761.6666666666666,772.1818181818181,333.3333333333333,821.5151515151515,818.0327868852459,803.4285714285714,781.0344827586207,785.0847457627119,792.0338983050848,821.25,864.3396226415094,834.8275862068965,812.063492063492,801.9402985074627,853.9285714285714,814.6666666666666,808.3797532347903
8,14,723.448275862069,716.875,752.1739130434783,783.2203389830509,765.9090909090909,741.044776119403,744.6478873239437,754.9253731343283,737.0588235294117,761.9117647058823,750.188679245283,730.3125,742.1875,754.53125,772.7536231884058,745.6716417910447,752.8924503539639
9,15,768.28125,759.5081967213115,714.5714285714286,235.0,802.258064516129,202.5,751.2698412698413,770.0,797.5,828.0,791.6666666666666,772.5,862.4590163934427,676.6101694915254,865.6363636363636,801.969696969697,830.0698775911625
